Dates,ACB,FPT,HPG
20190102,9615.642,20522.476,11249.909
20190103,9253.409,20323.229,10775.075
20190104,9319.269,20472.665,10848.126
20190107,9450.99,20821.347,10720.286
20190108,9385.13,20920.971,10537.658
20190109,9549.781,21120.218,10775.075
20190110,9516.851,20995.689,10884.652
20190111,9516.851,21020.595,10720.286
20190114,9450.99,21170.03,10702.024
20190115,9582.712,21319.466,10702.024
20190116,9483.921,21194.936,10756.812
20190117,9516.851,20920.971,10555.921
20190118,9418.06,20920.971,10665.498
20190121,9714.433,21170.03,10793.338
20190122,9582.712,21095.312,10775.075
20190123,9582.712,21095.312,10975.966
20190124,9615.642,21145.124,10902.915
20190125,9615.642,21120.218,10848.126
20190128,9516.851,20970.783,10866.389
20190129,9549.781,21170.03,10848.126
20190130,9648.572,21518.713,10592.446
20190131,9681.502,21518.713,10117.613
20190201,9714.433,21219.842,9971.51
20190211,9944.945,21991.926,10555.921
20190212,10043.736,21867.396,10775.075
20190213,10043.736,22191.173,11286.434
20190214,9912.014,22041.737,11322.96
20190215,9944.945,22016.831,11542.114
20190218,10010.805,22116.455,11743.005
20190219,9977.875,22116.455,11578.64
20190220,10010.805,22340.608,11761.268
20190221,9912.014,22315.702,11943.897
20190222,10043.736,22514.95,12382.205
20190225,10208.387,22664.385,12710.936
20190226,10142.526,22514.95,12601.359
20190227,10076.666,22465.138,12564.833
20190228,9780.293,22016.831,12272.628
20190301,9879.084,22216.079,12510.045
20190304,10010.805,22415.326,12911.827
20190305,9977.875,22365.514,12802.25
20190306,9977.875,22216.079,12783.987
20190307,10043.736,22290.797,12455.256
20190308,9977.875,22240.985,12400.468
20190311,10010.805,22166.267,12345.679
20190312,10175.457,23162.504,12363.942
20190313,10340.108,23013.068,12546.57
20190314,10373.038,23037.974,12491.782
20190315,10438.899,22913.444,11651.691
20190318,10504.759,23013.068,11633.428
20190319,10307.178,22764.009,11651.691
20190320,10208.387,22639.479,11797.794
20190321,10010.805,22465.138,11688.217
20190322,10043.736,22440.232,11669.954
20190325,9912.014,22116.455,11469.063
20190326,9977.875,22290.797,11542.114
20190327,10010.805,22415.326,11816.057
20190328,9977.875,22490.044,11852.582
20190329,9977.875,22664.385,11761.268
20190401,9977.875,22813.821,11669.954
20190402,9977.875,22913.444,11724.742
20190403,9912.014,23511.186,11724.742
20190404,9944.945,23810.058,11834.32
20190405,9944.945,23810.058,11870.845
20190408,10142.526,23810.058,11834.32
20190409,10043.736,23560.998,11724.742
20190410,9944.945,23361.751,11669.954
20190411,9977.875,23411.563,11669.954
20190412,9944.945,24009.305,11706.48
20190416,9879.084,23859.869,11596.903
20190417,9846.154,24158.74,11542.114
20190418,9780.293,24158.74,11432.537
20190419,9747.363,24133.834,11542.114
20190422,9648.572,23859.869,11633.428
20190423,9747.363,23859.869,11651.691
